由于语法栈中内容较多，为了便于区分，[]为语法栈内容，()为表达式内容

步骤	[语法栈]	(输入串)	表达式
106	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Vpam', '(']	(()	0
107	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'Vpam']	(void)	
108	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum', 'void']	(void)	11 void
109	['#', 'Stem', 'Epro', 'Bloc', ')', 'Pnum']	())	
110	['#', 'Stem', 'Epro', 'Bloc', ')']	())	0
111	['#', 'Stem', 'Epro', 'Bloc']	({)	
112	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', '{']	({)	15 { Kdec Lstr }
113	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec']	(int)	
114	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr', 'Kvde']	(int)	16 Kvde Advr ; Kdec
115	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr', 'ID', 'int']	(int)	17 int ID
116	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr', 'ID']	(ID)	
117	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr']	(;)	
118	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';']	(;)	0
119	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec']	(int)	
120	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr', 'Kvde']	(int)	16 Kvde Advr ; Kdec
121	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr', 'ID', 'int']	(int)	17 int ID
122	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr', 'ID']	(ID)	
123	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr']	(;)	
124	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';']	(;)	0
125	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec']	(int)	
126	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr', 'Kvde']	(int)	16 Kvde Advr ; Kdec
